family,genus,species,author,spcode,canopy_position,live_form,native_status,habitat,successional_status,drought_tolerance,deer_herbivory,flower_reproduction,fruit_type,dispersal_vector,IUCN_status,References
Sapindaceae,Acer,negundo,Michx.,acne,understory,tree,native,"Well-drained floodplain forests, riverbanks, rich mesic forests, sand and gravel-bar woodlands, old alluvial fields, and successional forests on disturbed uplands (especially near rivers and streams).",early to late successional; moderately shade tolerant; usually establishes under pioneering species ,drought-resistant,,Dioecious,Samara,,Least concern,"Weakly et al, 2012 (habitat)"
Sapindaceae,Acer,platanoides,L.,acpl,canopy,tree,introduced,"Native of Europe, escaped and naturalized in forests, fencerows, and roadsides.",shade to very shade tolerant; often strong competitors in closed-canopy forest understories,drought-resistant,,Dioecious,Samara,,Least concern,"Weakly et al, 2012 (habitat)"
Sapindaceae,Acer,rubrum,L.,acru,canopy,tree,native,"Mesic to dry, calcareous upland forests and woodlands; rich floodplain forests, locally common in areas underlain by limestone, dolomite, or calcareous shales","moderately shade tolerant in the North but intolerant in the Piedmont; vigorous sprouting, prolific seeding enable it to pioneer on \disturbed sites; generally does not persist in late successional stages",drought-resistant,,Dioecious,Samara,,Least concern,"Weakly et al, 2012 (habitat)"
Simaroubaceae,Ailanthus,altissima,(Mill.) Swingle,aial,canopy,tree,introduced,"Disturbed forests, old fields, fencerows, road banks, and urban woodlots;",early-successional; most common on disturbed sites; sometimes share canopy with native hardwoods into late succession,drought-resistant,,Dioecious,Twisted samara,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Amelanchier,arborea,(Michx. f.) Fernald ,amar,understory,small tree,native,"Disturbed forests, old fields, fencerows, road banks, and urban woodlots;",late successional to climax,drought-resistant,,Monoecious,Pome,,Least concern,"Weakly et al, 2012 (habitat)"
Annonaceae,Asimina,triloba,(L.) Dunal,astr,understory,small tree,native,"Well-drained, base-rich nutrient-poor soils",shade tolerant; good competitor when undisturbed but does not spread into either early- or late-successional forest types,drought-intolerant,unpalatable,Monoecious,Berries,"Humans, clonal reproduction.",Least concern,"Weakly et al, 2012 (habitat)"
Berberidaceae,Berberis,thunbergii,DC.,beth,shrub layer,shrub,introduced,Mesic to dry forests and old fields.,"shade tolerant; may establish in any successional stage; best in open, disturbed forest sites in early succession",drought-resistant,,Monoecious,Berries,Birds,Least concern,"Weakly et al, 2012 (habitat)"
Betulaceae,Carpinus,caroliniana,Walter ,caca,understory,small tree,native,"Mesic  upland forest, stram banks",shade tolerant greatest in seedlings and declining with age; responds positively to overstory removal,drought-intolerant,,Monoecious,Nutlets,,Least concern,"Weakly et al, 2012 (habitat)"
Juglandaceae,Carya,cordiformis,(Wangenh.) K. Koch ,caco,canopy,tree,native,"Mesic to rather dry upland forests and woodlands, well-drained floodplain forests, and high-elevation deciduous forests",shade intolerant (generally); gradually accumulates and develops under moderate canopies,drought-intolerant,,Monoecious,Tryma (drupaceous nuts),,Least concern,"Weakly et al, 2012 (habitat)"
Juglandaceae,Carya,glabra,(Mill.) Sweet,cagl,canopy,tree,native,"Mesic to dry upland forests, but most numerous in moderately to strongly base-rich soils","intermediate; shade tolerant in S portion of its range, intolerant in N portion; persists in some climax communities",drought-resistant,,Monoecious,Tryma (drupaceous nuts),,Least concern,"Weakly et al, 2012 (habitat)"
Juglandaceae,Carya,ovalis,(Wangenh.) Sarg.,caovl,canopy,tree,native,Mesic to dry upland forests and woodlands; tolerates a wide range of soil conditions,"slow growing, intermediate shade tolerance",drought-resistant,,Monoecious,Tryma (drupaceous nuts),,Least concern,"Weakly et al, 2012 (habitat)"
Juglandaceae,Carya,tomentosa,(Lam. ex Poir.) Nutt.,cato,canopy,tree,native,"Mesic to dry upland forests and woodlands; tolerant of a range of soil chemistries, occurring widely on base-rich to extremely infertile substrates","shade intolerant (generally), but probably a climax species in moist sites",drought-resistant,,Monoecious,Tryma (drupaceous nuts),,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Castanea,dentata,(Marshall) Borkh.,cade,canopy,tree,native,"Dry and dry-mesic upland forests and woodlands, most common on dry, rocky ridges with oaks and pines; absent from highly calcareous areas",early-successional,drought-resistant,,Monoecious,Nuts,,Extinct,"Weakly et al, 2012 (habitat)"
Cannabaceae,Celtis,occidentalis,L.,ceoc,understory,tree,native,"Floodplains, mesic to dry upland; nutrient rich",early-successional; colonizes old fields as well as recently disturbed sites,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Fabaceae,Cercis,canadensis,L.,ceca,understory,shrub or small tree,native,"Dry to mesic upland forest, calcareous soils",moderately shade tolerant; often increases in dominance on sites experiencing disturbance,drought-resistant,,Monoecious,Legume,,Least concern,"Weakly et al, 2012 (habitat)"
Oleaceae,Chionanthus,virginicus,L.,chvi,shrub layer,shrub,native,"Mesic to dry upland forests, woodlands, and barrens",,drought-intolerant,,Dioecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Cornaceae,Cornus,alternifolia,L. f.,coal,understory,small tree,native,"Mesic and dry-mesic upland forests, boulder field forests, seepage swamp hummocks, clearings and borders",,drought-intolerant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Cornaceae,Cornus,florida,L.,cofl,understory,small tree,native,"Mesic and dry-mesic upland forests, boulder field forests, seepage swamp hummocks, clearings and borders",,drought-intolerant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Betulaceae,Corylus,americana,Walter ,coam,shrub layer,shrub,native,"Mesic to dry upland forests, well-drained floodplain forests, rocky woodlands, and old fields.",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Crataegus,pruinosa,(Wendl. f.) K. Koch,crpr,shrub layer,shrub,native,"Dry, thinly-canopied, shaly or rocky forests, woodlands, and edges.",,drought-resistant,,Monoecious,Pome,,Least concern,"Weakly et al, 2012 (habitat)"
Ebenaceae,Diospyros,virginiana,L.,divi,canopy,tree,native,"Weedy tree in old fields, fencerows, and roadsides; also scattered in a range of natural habitats, including swamp forests, depression ponds, dune woodlands and scrub, rocky woodlands, and the understory of mesic to dry upland forests.",,drought-resistant,,Dioecious,Berries,,Least concern,"Weakly et al, 2012 (habitat)"
Elaeagnaceae,Elaeagnus,umbellata,Thunb.,elum,shrub layer,shrub,introduced,"Mesic to dry forests, woodlands, old fields, fencerows, and roadsides",,drought-resistant,,Polygamodioecious,Achene (berry like),,Least concern,"Weakly et al, 2012 (habitat)"
Celastraceae,Euonymus,alatus,(Thunb.) Sieb.,eual,shrub layer,shrub,introduced,"Mesic forests, floodplains, and disturbed habitats, particularly in and near urban areas",,drought-resistant,,Monoecious,Capsule,,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Fagus,grandifolia,Ehrh.,fagr,canopy,tree,native,"Mesic to dry-mesic upland forests, very well-drained floodplain terraces, and bluffs; most common on well-drained, acidic, nutrient-poor soils",late successional/climax,drought-intolerant,,Monoecious,Nuts,,Least concern,"Weakly et al, 2012 (habitat)"
Oleaceae,Fraxinus,americana,L.,fram,canopy,tree,native,"Mesic to dry mesic upland forest, base-rich soils, well-drained",pioneer,drought-resistant,,Dioecious,Samara,,Critically Endangered,"Weakly et al, 2012 (habitat)"
Oleaceae,Fraxinus,nigra,Marshall,frni,canopy,tree,native,"Seepage swamps, fens, and rocky stream banks on calcareous or mafic substrates",,drought-resistant,,Dioecious,Samara,,Critically Endangered,"Weakly et al, 2012 (habitat)"
Oleaceae,Fraxinus,pennsylvanica,Marshall,frpe,canopy,tree,native,"Floodplain forests, alluvial and tidal swamps, seepage swamps, depression swamps and ponds, wet flatwoods, and other wetlands",,drought-resistant,,Dioecious,Samara,,Critically Endangered,"Weakly et al, 2012 (habitat)"
Hamamelidaceae,Hamamelis,virginiana,L.,havi,understory,shrub,native,Mesic to dry mesic upland forest,,drought-resistant,,Monoecious,Capsule,,Least concern,"Weakly et al, 2012 (habitat)"
Aquifoliaceae,Ilex,verticillata,(L.) A. Gray,ilve,shrub layer,shrub,native,"Alluvial swamps, seepage swamps, bogs, ponds, and depression swamps",,drought-resistant,,Dioecious,Drupes,Birds (Passerine),Least concern,"Weakly et al, 2012 (habitat)"
Juglandaceae,Juglans,cinerea,L.,juci,canopy,tree,native,"Mesic to fairly dry, often rocky upland forests, boulder fields, and stream bankon; base-rich substrates",,drought-resistant,,Monoecious,Tryma (drupaceous nuts),,Endangered,"Weakly et al, 2012 (habitat)"
Juglandaceae,Juglans,nigra,L.,juni,canopy,tree,native,"Rich soils of mesic upland forests, floodplain forests, old fields, and fencerows; occasionally in dry, rocky woodlands on mafic or calcareous rocks",shade intolerant,drought-resistant,,Monoecious,Tryma (drupaceous nuts),,Least concern,"Weakly et al, 2012 (habitat)"
Lauraceae,Lindera,benzoin,(L.) Blume,libe,shrub layer,shrub,native,"Mesic and dry-mesic upland forests, well-drained floodplain forests, seepage swamps, alluvial swamps, and tidal swamps; on uplands, it is most abundant in base-rich soils",,drought-intolerant,unpalatable,Polygamodioecious,Drupes,Birds (Passerine and Phasianidae),Least concern,"Weakly et al, 2012 (habitat)"
Magnoliaceae,Liriodendron,tulipifera,L.,litu,"canopy, emergent",tree,native,Mesic to dry mesic upland forest,"shade intolerant, pioneer",drought-intolerant,,Monoecious,Samara (aggregate),,Least concern,"Weakly et al, 2012 (habitat)"
Caprifoliaceae,Lonicera,maackii,(Rupr.) Herder,loma,shrub layer,shrub,introduced,"Mesic and dry-mesic forests, old fields, and fencerows",,drought-resistant,,Monoecious,Berries,,Least concern,"Weakly et al, 2012 (habitat)"
Nyssaceae,Nyssa,sylvatica,Marshall,nysy,canopy,tree,native,"Mesic to dry upland forests, rocky woodlands, seepage swamps, floodplain forests and swamps, wet flatwoods, and depression pons",,drought-resistant,,Dioecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Paulowniaceae,Paulownia,tomentosa,(Thunb.) Steud.,pato,canopy,tree,introduced,"Fencerows, old fields, roadcuts, old quarries, clearings, burned or cut-over forests, and sandy or rocky river shores",,drought-resistant,,Monoecious,Capsule,,Least concern,"Weakly et al, 2012 (habitat)"
Pinaceae,Pinus,pungens,Lamb.,pipu,canopy,tree,native,"Dry, rocky or frequently burned forests, woodlands, cliffs, bluffs",,drought-resistant,,Monoecious,Cones,,Least concern,"Weakly et al, 2012 (habitat)"
Pinaceae,Pinus,strobus,L.,pist,canopy,tree,native,"Mesic to dry upland forests and woodlands, and montane alluvial forests",,drought-resistant,,Monoecious,Cones,,Least concern,"Weakly et al, 2012 (habitat)"
Pinaceae,Pinus,virginiana,Mill.,pivi,canopy,tree,native,"Dry old fields and forests, rocky woodlands and barrens, cliffs, and outcrop",early succesional,drought-resistant,,Monoecious,Cones,,Least concern,"Weakly et al, 2012 (habitat)"
Platanaceae,Platanus,occidentalis,L.,ploc,canopy,tree,native,"Floodplain forests and swamps, montane alluvial forests, stream banks, flood-scoured rocky bars and shores, and disturbed alluvial habitats",,drought-resistant,,Monoecious,Achenes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,avium,(L.) L.,prav,canopy,tree,introduced,"Mesic and dry-mesic (occasionally dry) upland forests, old fields",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,persica,(L.) Batsch,prpe,canopy,tree,introduced,"Old fields, old homesites, roadsides, and waste ground",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Prunus,serotina,Ehrh.,prse,canopy,tree,native,Wet to dry forests and woodlands throughout,,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,alba,L.,qual,"canopy, emergent",tree,native,"Mesic to dry mesic upland forest, well drained bottomlands",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,coccinea,Münchh.,quco,canopy,tree,native,"Dry to, occasionally, mesic upland forests and woodlands; most characteristic of dry, acidic, nutrient-poor soils",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,falcata,Michx.,qufa,canopy,tree,native,"Dry to mesic upland forests and woodlands, mostly acidic and nutrient-poor; occasionally in wet flatwoods and other low, somewhat poorly drained habitats",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,michauxii,Nutt.,qumi,canopy,tree,native,"Well-drained floodplain forests, alluvial swamps, tidal swamps, wet flatwoods, and low mesic upland forests.",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,muehlenbergii,Engelm.,qumu,canopy,tree,native,"Dry to mesic upland forests and rocky woodlands, usually on soils weathered from calcareous or mafic rock",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,montana,L.,qupr,canopy,tree,native,"Dry to occasionally mesic upland forests, woodlands, and shale barrens",,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,rubra,L.,quru,"canopy, emergent",tree,native,"Mesic to dry mesic upland forest, mid to high elev.",faster grower,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fagaceae,Quercus,velutina,Lam.,quve,"canopy, emergent",tree,native,Dry to mesic upland forest,,drought-resistant,,Monoecious,Acorns,Mammals,Least concern,"Weakly et al, 2012 (habitat)"
Fabaceae,Robinia,pseudoacacia,L.,rops,canopy,tree,native,"Mesic to dry secondary forests, old fields, fencerows",,drought-resistant,,Monoecious,Legume,,Least concern,"Weakly et al, 2012 (habitat)"
Ericaceae,Rhododendron,periclymenoides,(Michx.) Shinners,rhpe,shrub layer,shrub,shrub,"Mesic to dry, acidic forests, seepage swamp hummocks, and stream banks. Common throughout.",,drought-resistant,,Monoecious,Capsule,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rosa,multiflora,Thunb.,romu,shrub layer,shrub,introduced,"Wetland and upland forests, clearings, old fields",,drought-resistant,,Monoecious,Drupes (rose hips),,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,allegheniensis,Porter,rual,shrub layer,shrub,native,"Mesic to dry forests, woodlands, barrens, clearings, old fields, pastures, and road banks",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,pensilvanicus,Poir.,rupe,shrub layer,shrub,native,"Natural and disturbed habitats, including floodplain forests, swamps (all types), wet flatwoods, mesic to dry upland forests, woodlands, clearings, old fields, and roadsides",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,phoenicolasius,Maxim.,ruph,shrub layer,shrub,introduced,"Mesic to dry-mesic (rarely dry) upland forests, clearings, old fields, and roadsides; especially abundant in base-rich soils.",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Sambucus,canadensis var. canadensis,(L.) R. Bolli,saca,understory,shrub,native,"Damp to wet soil in fields, clearings, ditches, roadsides, floodplain forests, and swamps",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Lauraceae,Sassafras,albidum,(Nutt.) Nees,saal,canopy,tree,native,"Dry to mesic forests and woodlands, old fields, fencerows",,drought-resistant,,Dioecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Malvaceae,Tilia,americana,L.,tiam,canopy,tree,native,"rich cove forests, rocky dry-mesic forests on mafic or calcareous rocks, and basic or calcareous boulderfield forests",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Ulmaceae,Ulmus,americana,L.,ulam,understory,tree,native,"Wetland habitats, including floodplain forests, tidal and nontidal swamps, and upland depressions; also in mesic upland forests",,drought-resistant,,Monoecious,Samara (papery),,Least concern,"Weakly et al, 2012 (habitat)"
Ulmaceae,Ulmus,rubra,Muhl.,ulru,understory,tree,native,"Mesic to dry mesic upland forest, rocky, disturbed habitats",,drought-resistant,,Monoecious,Samara (papery),,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,acerifolium,L.,viac,shrub layer,shrub,native,Mesic to dry upland forests.,,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,prunifolium,L.,vipr,shrub layer,shrub,native,"Open, wet to dry habitats.",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,recognitum,Fernald,vire,shrub layer,shrub,native,"Open, wet to dry habitats.",,drought-resistant,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
